pressure,temperature,dewpoint,u_wind,v_wind,altitude
679.7,11.75,-3.6,-37.81,-14.514,485.4
679.4,11.71,-3.6,-37.551,-15.172,489.8
679.0,11.67,-3.6,-37.458,-15.134,494.2
678.7,11.63,-3.6,-37.458,-15.134,498.6
678.3,11.58,-3.6,-37.366,-15.097,503.0
677.9,11.54,-3.6,-37.366,-15.097,507.4
677.6,11.5,-3.7,-37.273,-15.059,511.8
677.2,11.45,-3.7,-37.273,-15.059,516.1
676.9,11.41,-3.7,-37.18,-15.022,520.5
676.5,11.37,-3.7,-37.18,-15.022,524.9
676.2,11.32,-3.7,-36.82,-15.629,529.3
675.8,11.28,-3.7,-36.82,-15.629,533.7
675.5,11.24,-3.8,-36.728,-15.59,538.1
675.1,11.19,-3.8,-36.728,-15.59,542.5
674.7,11.15,-3.8,-36.636,-15.551,546.9
674.4,11.11,-3.8,-36.636,-15.551,551.3
674.0,11.06,-3.8,-36.544,-15.512,555.7
673.6,11.02,-3.8,-36.452,-15.473,560.1
673.2,10.97,-3.8,-36.268,-15.395,564.5
672.8,10.93,-3.8,-36.176,-15.356,569.7
672.4,10.87,-3.8,-35.811,-15.944,575.3
672.0,10.82,-3.9,-35.72,-15.903,580.9
671.6,10.77,-3.9,-35.628,-15.863,586.4
671.1,10.72,-3.9,-35.446,-15.781,592.0
670.7,10.67,-3.9,-35.354,-15.741,597.6
670.2,10.61,-3.9,-35.263,-15.7,603.1
669.8,10.56,-3.9,-35.172,-15.659,608.7
669.3,10.51,-3.9,-35.08,-15.619,614.3
668.9,10.46,-3.9,-34.897,-15.537,619.8
668.4,10.41,-3.9,-34.806,-15.497,625.4
668.0,10.35,-3.9,-34.715,-15.456,630.9
667.5,10.3,-3.9,-34.623,-15.415,636.5
667.1,10.25,-4.0,-34.258,-15.975,642.1
666.6,10.2,-4.0,-34.077,-15.89,647.6
666.2,10.15,-4.0,-33.987,-15.848,653.2
665.7,10.09,-4.0,-33.896,-15.806,658.8
665.3,10.04,-4.0,-33.805,-15.764,664.3
664.9,9.98,-4.0,-33.715,-15.721,669.9
664.4,9.92,-4.0,-33.715,-15.721,675.5
664.0,9.87,-4.0,-33.715,-15.721,681.0
663.5,9.81,-4.0,-33.435,-16.307,686.6
663.1,9.75,-4.0,-33.435,-16.307,692.1
662.6,9.7,-4.0,-33.435,-16.307,697.7
662.2,9.64,-4.1,-33.435,-16.307,703.3
661.7,9.59,-4.1,-33.435,-16.307,708.8
661.3,9.53,-4.1,-33.345,-16.264,714.4
660.8,9.47,-4.1,-33.056,-16.843,720.0
660.3,9.42,-4.1,-33.056,-16.843,725.5
659.8,9.36,-4.1,-33.056,-16.843,731.1
659.3,9.31,-4.1,-33.056,-16.843,738.0
658.8,9.25,-4.1,-33.056,-16.843,745.4
658.3,9.2,-4.1,-33.056,-16.843,752.8
657.7,9.15,-4.1,-32.757,-17.417,760.2
657.1,9.1,-4.1,-32.757,-17.417,767.5
656.5,9.06,-4.1,-32.757,-17.417,774.9
655.9,9.01,-4.1,-32.757,-17.417,782.3
655.3,8.96,-4.1,-32.757,-17.417,789.7
654.7,8.92,-4.0,-32.669,-17.37,797.1
654.2,8.87,-4.0,-32.361,-17.938,804.4
653.6,8.82,-4.0,-32.273,-17.889,811.8
653.0,8.78,-4.0,-32.186,-17.841,819.2
652.4,8.73,-4.0,-32.099,-17.793,826.6
651.8,8.68,-4.0,-31.783,-18.35,834.0
651.3,8.64,-3.9,-31.697,-18.3,841.3
650.7,8.59,-3.9,-31.61,-18.25,848.7
650.1,8.54,-3.9,-31.287,-18.799,856.1
649.5,8.5,-3.9,-31.201,-18.747,863.5
648.9,8.45,-3.9,-31.115,-18.696,870.8
648.4,8.38,-3.9,-31.115,-18.696,878.2
647.8,8.32,-3.9,-30.699,-19.183,885.6
647.2,8.26,-3.9,-30.615,-19.13,893.0
646.6,8.2,-3.9,-30.615,-19.13,900.4
646.0,8.13,-3.8,-30.53,-19.077,907.7
645.5,8.07,-3.8,-30.192,-19.607,915.1
644.9,8.01,-3.8,-30.108,-19.553,922.5
644.3,7.95,-3.8,-30.024,-19.498,929.9
643.7,7.89,-3.8,-29.68,-20.019,937.3
643.1,7.82,-3.8,-29.597,-19.963,944.6
642.5,7.76,-3.8,-29.514,-19.907,952.0
641.9,7.7,-3.8,-29.348,-19.795,959.9
641.3,7.64,-3.8,-28.834,-20.19,967.9
640.7,7.57,-3.8,-28.67,-20.075,975.9
640.1,7.51,-3.8,-28.506,-19.96,983.9
639.5,7.45,-3.8,-27.992,-20.337,991.9
638.9,7.36,-3.8,-27.83,-20.22,999.9
638.3,7.27,-3.8,-27.668,-20.102,1007.9
637.6,7.19,-3.8,-27.154,-20.462,1015.9
637.0,7.1,-3.8,-26.994,-20.341,1023.9
636.4,7.01,-3.9,-26.834,-20.221,1031.9
635.8,6.92,-3.9,-26.32,-20.563,1039.9
635.2,6.84,-3.9,-26.162,-20.44,1047.9
634.5,6.75,-4.0,-26.083,-20.378,1055.9
633.9,6.66,-4.0,-25.568,-20.705,1063.9
633.3,6.57,-4.1,-25.413,-20.579,1071.9
632.7,6.48,-4.1,-25.257,-20.453,1079.9
632.1,6.4,-4.1,-24.743,-20.762,1088.0
631.5,6.31,-4.2,-24.59,-20.633,1096.0
630.8,6.22,-4.2,-24.513,-20.569,1104.0
630.2,6.13,-4.3,-24.075,-20.928,1112.0
629.6,6.05,-4.3,-24.151,-20.994,1120.0
629.0,5.96,-4.3,-24.59,-20.633,1128.0
628.4,5.88,-4.4,-24.743,-20.762,1136.0
627.8,5.8,-4.4,-24.82,-20.826,1144.0
627.2,5.72,-4.4,-24.896,-20.891,1152.0
626.5,5.64,-4.5,-24.973,-20.955,1160.0
625.9,5.56,-4.5,-25.126,-21.083,1168.0
625.4,5.48,-4.5,-25.203,-21.148,1176.0
624.8,5.4,-4.6,-25.279,-21.212,1184.0
624.3,5.32,-4.6,-25.433,-21.341,1191.9
